oppervlakte_m2,index_right,buurtcode,p_le_2,netto_splitsbaar_m2,max_units_after_split,split_feasible,units_added_if_split,expected_units_added
141,5564.0,BU04061226,0.422,126.9,2,True,1,0.0422
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
141,5564.0,BU04061226,0.422,126.9,2,True,1,0.0422
121,5564.0,BU04061226,0.382,108.9,2,True,1,0.038200000000000005
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
122,5564.0,BU04061226,0.384,109.8,2,True,1,0.038400000000000004
122,5564.0,BU04061226,0.384,109.8,2,True,1,0.038400000000000004
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
141,5564.0,BU04061226,0.422,126.9,2,True,1,0.0422
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
124,5564.0,BU04061226,0.388,111.60000000000001,2,True,1,0.0388
141,5564.0,BU04061226,0.422,126.9,2,True,1,0.0422
178,5548.0,BU04060409,0.496,160.20000000000002,2,True,1,0.049600000000000005
160,5536.0,BU04060001,0.45999999999999996,144.0,2,True,1,0.046
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
136,5560.0,BU04061021,0.412,122.4,2,True,1,0.0412
145,5549.0,BU04060410,0.43,130.5,2,True,1,0.043000000000000003
235,5552.0,BU04060513,0.61,211.5,2,True,1,0.061
122,5556.0,BU04060817,0.384,109.8,2,True,1,0.038400000000000004
213,5539.0,BU04060204,0.5660000000000001,191.70000000000002,2,True,1,0.05660000000000001
131,5549.0,BU04060410,0.402,117.9,2,True,1,0.04020000000000001
191,5549.0,BU04060410,0.522,171.9,2,True,1,0.0522
125,5562.0,BU04061124,0.39,112.5,2,True,1,0.03900000000000001
203,5564.0,BU04061226,0.546,182.70000000000002,2,True,1,0.05460000000000001
257,5536.0,BU04060001,0.6539999999999999,231.3,2,True,1,0.0654
195,5549.0,BU04060410,0.53,175.5,2,True,1,0.053000000000000005
288,5538.0,BU04060103,0.716,259.2,2,True,1,0.0716
127,5556.0,BU04060817,0.394,114.3,2,True,1,0.039400000000000004
241,5543.0,BU04060308,0.622,216.9,2,True,1,0.062200000000000005
146,5561.0,BU04061123,0.432,131.4,2,True,1,0.0432
145,5565.0,BU04061231,0.43,130.5,2,True,1,0.043000000000000003
175,5538.0,BU04060103,0.49,157.5,2,True,1,0.049
126,5553.0,BU04060614,0.392,113.4,2,True,1,0.039200000000000006
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
141,5560.0,BU04061021,0.422,126.9,2,True,1,0.0422
138,5558.0,BU04060919,0.416,124.2,2,True,1,0.0416
136,5559.0,BU04061020,0.412,122.4,2,True,1,0.0412
136,5560.0,BU04061021,0.412,122.4,2,True,1,0.0412
136,5553.0,BU04060614,0.412,122.4,2,True,1,0.0412
379,5549.0,BU04060410,0.8979999999999999,341.1,2,True,1,0.08979999999999999
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
144,5564.0,BU04061226,0.428,129.6,2,True,1,0.042800000000000005
219,5536.0,BU04060001,0.5780000000000001,197.1,2,True,1,0.05780000000000001
140,5536.0,BU04060001,0.42,126.0,2,True,1,0.042
330,5538.0,BU04060103,0.8,297.0,2,True,1,0.08000000000000002
180,5538.0,BU04060103,0.5,162.0,2,True,1,0.05
154,5555.0,BU04060716,0.44799999999999995,138.6,2,True,1,0.0448
163,5548.0,BU04060409,0.46599999999999997,146.70000000000002,2,True,1,0.0466
581,5538.0,BU04060103,0.9,522.9,2,True,1,0.09000000000000001
188,5538.0,BU04060103,0.516,169.20000000000002,2,True,1,0.05160000000000001
144,5538.0,BU04060103,0.428,129.6,2,True,1,0.042800000000000005
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
153,5561.0,BU04061123,0.44599999999999995,137.70000000000002,2,True,1,0.0446
180,5552.0,BU04060513,0.5,162.0,2,True,1,0.05
138,5553.0,BU04060614,0.416,124.2,2,True,1,0.0416
174,5549.0,BU04060410,0.488,156.6,2,True,1,0.0488
136,34.0,BU04069997,0.412,122.4,2,True,1,0.0412
257,5549.0,BU04060410,0.6539999999999999,231.3,2,True,1,0.0654
191,5539.0,BU04060204,0.522,171.9,2,True,1,0.0522
127,5556.0,BU04060817,0.394,114.3,2,True,1,0.039400000000000004
209,5549.0,BU04060410,0.558,188.1,2,True,1,0.05580000000000001
129,5564.0,BU04061226,0.398,116.10000000000001,2,True,1,0.0398
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
160,5542.0,BU04060307,0.45999999999999996,144.0,2,True,1,0.046
160,5543.0,BU04060308,0.45999999999999996,144.0,2,True,1,0.046
125,5549.0,BU04060410,0.39,112.5,2,True,1,0.03900000000000001
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
136,5559.0,BU04061020,0.412,122.4,2,True,1,0.0412
136,5560.0,BU04061021,0.412,122.4,2,True,1,0.0412
120,5548.0,BU04060409,0.38,108.0,2,True,1,0.038000000000000006
126,5538.0,BU04060103,0.392,113.4,2,True,1,0.039200000000000006
133,5563.0,BU04061125,0.40599999999999997,119.7,2,True,1,0.0406
145,5565.0,BU04061231,0.43,130.5,2,True,1,0.043000000000000003
315,5541.0,BU04060206,0.77,283.5,2,True,1,0.07700000000000001
141,5560.0,BU04061021,0.422,126.9,2,True,1,0.0422
133,5553.0,BU04060614,0.40599999999999997,119.7,2,True,1,0.0406
125,5562.0,BU04061124,0.39,112.5,2,True,1,0.03900000000000001
203,5564.0,BU04061226,0.546,182.70000000000002,2,True,1,0.05460000000000001
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
174,5559.0,BU04061020,0.488,156.6,2,True,1,0.0488
141,5564.0,BU04061226,0.422,126.9,2,True,1,0.0422
165,5549.0,BU04060410,0.47,148.5,2,True,1,0.047
128,5560.0,BU04061021,0.396,115.2,2,True,1,0.0396
957,5536.0,BU04060001,0.9,861.3000000000001,2,True,1,0.09000000000000001
127,5556.0,BU04060817,0.394,114.3,2,True,1,0.039400000000000004
150,5555.0,BU04060716,0.44,135.0,2,True,1,0.044000000000000004
133,5536.0,BU04060001,0.40599999999999997,119.7,2,True,1,0.0406
169,5552.0,BU04060513,0.478,152.1,2,True,1,0.0478
175,5548.0,BU04060409,0.49,157.5,2,True,1,0.049
367,5539.0,BU04060204,0.8740000000000001,330.3,2,True,1,0.08740000000000002
126,5553.0,BU04060614,0.392,113.4,2,True,1,0.039200000000000006
189,5549.0,BU04060410,0.518,170.1,2,True,1,0.051800000000000006
223,5549.0,BU04060410,0.5860000000000001,200.70000000000002,2,True,1,0.05860000000000001
236,5537.0,BU04060002,0.612,212.4,2,True,1,0.061200000000000004
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
201,5539.0,BU04060204,0.542,180.9,2,True,1,0.054200000000000005
281,5548.0,BU04060409,0.702,252.9,2,True,1,0.0702
169,5564.0,BU04061226,0.478,152.1,2,True,1,0.0478
146,5536.0,BU04060001,0.432,131.4,2,True,1,0.0432
131,5536.0,BU04060001,0.402,117.9,2,True,1,0.04020000000000001
139,5560.0,BU04061021,0.418,125.10000000000001,2,True,1,0.041800000000000004
132,5536.0,BU04060001,0.404,118.8,2,True,1,0.040400000000000005
145,5565.0,BU04061231,0.43,130.5,2,True,1,0.043000000000000003
123,5549.0,BU04060410,0.386,110.7,2,True,1,0.0386
153,5561.0,BU04061123,0.44599999999999995,137.70000000000002,2,True,1,0.0446
127,5556.0,BU04060817,0.394,114.3,2,True,1,0.039400000000000004
141,5557.0,BU04060818,0.422,126.9,2,True,1,0.0422
129,5564.0,BU04061226,0.398,116.10000000000001,2,True,1,0.0398
125,5548.0,BU04060409,0.39,112.5,2,True,1,0.03900000000000001
238,5536.0,BU04060001,0.616,214.20000000000002,2,True,1,0.0616
120,5555.0,BU04060716,0.38,108.0,2,True,1,0.038000000000000006
137,5537.0,BU04060002,0.414,123.3,2,True,1,0.0414
123,5555.0,BU04060716,0.386,110.7,2,True,1,0.0386
