buurtcode,expected_units_added,schaduw,wijktype,aantal_inwoners
BU04060001,42.172000000000004,43.48229669008716,Tuindorp,3605.0
BU04060002,18.752200000000002,46.22287223346969,Tuindorp,2685.0
BU04060103,25.8792,53.3474362029542,Villa,2430.0
BU04060204,8.218,86.00211936344503,Villa,235.0
BU04060205,6.614800000000001,95.35010205457888,Villa,285.0
BU04060206,14.530000000000001,58.2134206022994,Villa,430.0
BU04060307,2.3324000000000003,77.7694466004573,Groen,80.0
BU04060308,4.5144,83.62021165373133,Groen,150.0
BU04060327,0.6162000000000001,65.67452040339383,Groen,20.0
BU04060328,0.0734,75.31952555091993,Groen,5.0
BU04060329,0.4288,47.60670613405348,Groen,10.0
BU04060330,2.3456,53.62578465770371,Villa,100.0
BU04060409,11.9184,48.10715977964085,Villa,615.0
BU04060410,33.17,55.20719580939891,Villa,2150.0
BU04060511,5.9326,47.95040891931082,Bloemkoolwijk,650.0
BU04060512,3.8162000000000003,16.32074387244273,Groen,45.0
BU04060513,30.960400000000003,33.5255442769655,Bedrijven,735.0
BU04060614,20.1966,40.31551599968981,Naoorlogse woonwijk,2585.0
BU04060615,9.437800000000001,34.50087632149249,Naoorlogse woonwijk,1280.0
BU04060716,51.0808,54.52022123095342,Tuinstad laagbouw,3775.0
BU04060817,28.2332,56.81300303065439,Bloemkoolwijk,3280.0
BU04060818,16.063000000000002,55.63176059374408,Bloemkoolwijk,2610.0
BU04060919,12.8436,49.62382238622651,Bloemkoolwijk,2910.0
BU04061020,7.889200000000001,53.88638442184464,Bloemkoolwijk,1515.0
BU04061021,4.2234,49.22092409220215,Bloemkoolwijk,500.0
BU04061123,15.589,41.19430597596636,Bloemkoolwijk,3420.0
BU04061124,4.103000000000001,44.99048851548691,Bloemkoolwijk,1340.0
BU04061125,5.1226,33.00355927700121,Vernieuwd,1210.0
BU04061226,25.689,34.1612754866112,Sub-urbane uitbreiding - VINEX,1980.0
BU04061231,5.735600000000001,34.51949769319067,Sub-urbane uitbreiding - VINEX,310.0
BU04069997,1.2848,,,
