Benaming;Locatie;Aantal;Soort ontwikkeling;Woonconferentie 22/05/2025;Status;Afgerond/In aanbouw
Ambitus Plan passage / Plan ORP ;Voorbaan/Achterbaan;6;Verdichtingslocatie.;;In voorbereiding;
Optopping;Kerkstraat;11;;;;
Beukenlaan 8;Beukenlaan 8;1;Toevoegen van woning binnen wijzigingsbevoegdheid tijdelijke omgevingsplan;;na de zomer;
Beursweg- Ceintuurbaan;Beursweg- Ceintuurbaan;1;Verzoek tiny house op bestaand parkeerterrein/hoekperceel.;;In voorbereiding/ aanvraag volgt. Geen ontwikkelingen. Ligt bij initiatiefnemer.;
Blokkerpanden;Kerkstraat 2-18;34;Sloop/nieuwbouw (woningen).;(Herontwikkeling. Daarbij is het woonprogramma 12 huurwoningen sociaal segment, 18 woningen midden segment en 4 woningen hoog segment. Regie op doorstroming).;In voorbereiding, besluitvorming nog nodig over: contracten nog sluiten, ruimtelijke procedure, budget inrichting;
Bovenmaatweg 333;Bovenmaatweg 333;52;Verdichtingslocatie (extra verdieping);(Optoppen);In voorbereiding, omgevingsvergunning aangevraagd;
Ceintuurbaan 12b;Ceintuurbaan 12b;1;Transformeren bedrijfspand naar woning.;(Transformatie);;Afgerond
Ceintuurbaan 45;Ceintuurbaan 45- 45a;8;Transformatie bestaand uitvaartcentrum naar appartementen. ;(Transformatie);De aanvraag is op 5/5 ingediend. Plan is losgekoppeld van Raadhuisstraat 6.;
De Twee Maten;Huizermaatweg 2;52;Sloop/nieuwbouw (woningen).;(Doorstromingslocatie woningbouw door corporatie);In voorbereiding;
Disselweg 9;Disselweg 9;15;Functieverandering maatschappelijk naar wonen.;(Doorstromingslocatie woningbouw door corporatie);;Afgerond
Draaikom 2;Draaikom 2;27;Nieuwbouw zorgwoningen (zo mogelijk in 2025-2026).;;In voorbereiding;
Gooierserf 254;Gooierserf 254;12;Functieverandering Kantoren (na sloop), STEC/Programma Kantoren.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;In voorbereiding;
Gooierserf 400;Gooierserf 400;12;Functieverandering Kantoren (na sloop), STEC/Programma Kantoren.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;In voorbereiding;
Havenstraat 285;Havenstraat 285;16;Functieverandering kantoor/bedrijf naar wonen, plan juni 2024.;;In voorbereiding;
Havenstraat 291 - 293;Havenstraat 291 - 293;14;Functieverandering kantoor naar wonen.;;Geen ontwikkelingen. Ligt bij initiatiefnemer.;
Havenstraat 35;Havenstraat 35;2;Functieverandering detailhandel (na sloop).;;In voorbereiding;
Hoeveweg 2;Hoeveweg 2;6;Sloop/ nieuwbouw.;(Betaalbare jongeren woningen);;Afgerond
Hotel Newport;Labradorstroom 75;48;Realiseren hotel en uitbreiden met appartementen.;;Geen ontwikkelingen. Ligt bij initiatiefnemer.;
Huizermaatweg 320;Huizermaatweg 320;21;Transformatie van een bestaand gebouw.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;In voorbereiding;
Huizermaatweg 340;Huizermaatweg 340;6;Verdichtingslocatie (extra verdieping).;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;In voorbereiding;
Huizermaatweg 560-586;Huizermaatweg 560-586;24;Transformatie van kantoor gebouw.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;Omgevingsvergunning is verleend;
Huizermaatweg 610;Huizermaatweg 610;18;Transformatie van kantoor gebouw.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;;Start bouw
Jan van Galenstraat 35;Jan van Galenstraat;15;Functieverandering Maatschappelijk (na sloop).;;Voorlopig geen ontwikkeling gelet op tijdelijk gebruik;
Keucheniusstraat 36;Keucheniusstraat 36;1;Sloop/nieuwbouw of hergebruik;;In voorbereiding;
Keucheniusstraat oostzijde;Keucheniusstraat;31;Sloop nieuwbouw.;;;Werkzaamheden gestart
Lindenlaan 56a;Lindenlaan 56a;12;Realiseren van appartementen in bestaande bouw en nieuwbouw.;;In voorbereiding;
Lumenpand;Botterstraat 47;112;Transformatie van een bestaand gebouw.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;In voorbereiding;
Melkweg 7;Melkweg 7;4;Functieverandering bedrijf naar wonen.;(Transformatie);Omgevingsvergunning is verleend;
Nieuwe Bussummerweg;Nieuwe Bussummerweg;20;Natuurkavel realisering gehandicapten woningen;;In voorbereiding;
Oude Haven fase 3;IJsselmeerstraat;35;Verdichtingslocatie.;Ook meervoudig ruimtegebrek door werken in de plint en wonen mogelijk maken;Aanvraag omgevingsvergunning technisch deel ingediend.;
Plaveenseweg 18;Plaveenseweg 18;3;Functieverandering bedrijf naar wonen.;Transformatie;;
Ploegweg;Ploegweg 52;15;Functieverandering maatschappelijk naar wonen.;Transformatie;;
Raadhuisstraat 6;Raadhuisstraat 6;8;Sloop/nieuwbouw bestaand winkelpand naar woning;Transformatie;;
Silverdome;Bestevaer 5;53;Verdichtingslocatie. (24 sociale huur, 29 koop);Doorstroming, 24 sociale huurwoningen voor jongeren en 29 koopwoningen;werkzaamheden gestart;Werkzaamheden gestart
Sportpark;Bestevaer;200;Gebiedsontwikkeling.;Ontwikkeling van een terrein waarmee voor diverse doelgroepen woningen worden geraeliseerd ook om doorstroming op gang te brengen;In voorbereiding;
Sportschool Rebel;Kerkstraat 68;47;Functieverandering sport-recreatie naar wonen.;Ontwikkeling van een terrein waarmee voor diverse doelgroepen woningen worden geraeliseerd ook om doorstroming op gang te brengen;Geen ontwikkelingen. Ligt bij initiatiefnemer.;
Trappenberg;Crailoseweg 116;270;Transformatie woonzorg.;;Vergunning onherroepelijk;
Trompstraat 1;Trompstraat 1;17;Functieverandering Maatschappelijk (na sloop).;Doorstroming woningbouw door corporatie;;Werkzaamheden gestart
Visserstraat tussen 38-44;Visserstraat 40-42;2;Verdichtingslocatie/bebouwing leeg kavel met bouwmogelijkheden;Kavelsplitsing;;
Vituslocatie;Hooghuizerweg 36;15;Sloop/nieuwbouw kerkgebouw naar appartementen;Transformatie;;
Voorbaan 32;Voorbaan 32;3;Nieuwbouw;;;
Witte de Witstraat 58;Witte de Witstraat 58;3;Splitsen pand;Woningssplitsing;;
Totaal;;1.253;;;;waarvan 390 afgerond/gestart
De Pier;Nabij Nautisch Kwartier;PM;Verdichting en transformatie deel van gemeentelijke haven;;Geen ontwikkeling. Wordt afgestemd met initiatiefnemer;
Holleblok;Buurtwinkelcentrum;PM;Herontwikkelen buurtwinkelcentrum en verdichting woningen;;Gebiedsvisie opstellen;
Kalmoes;Kalmoes;PM;Inpassen aangrends aan bestaande woonwijk;;Raadsbesluit naar verwachting in juli 2025;
Kostmand;;;Herontwikkelen buurtwinkelcentrum en verdichting woningen;;;
Oostzijde haven;Energieweg 4-12;PM;Herontwikkelen behoud bedrijven verdichting met woningen;;;
Oude haven fase 3 (locatie Coronel karting);Ijsselmeerstraat 314;PM;herontwikkeling met woniningen en gegevende plint;;;
Parkeerterrein Winkelcentrum Oostermeent;Parkeerterrein Winkelcentrum Oostermeent;PM;Inpassen angrenzend aan bestaand winkelcentrum;;;
